03/09/2018 analyzed on 07/10/18 frac.diff. = (measured-ideal)/ideal * 1e15
MJD	Al vs Yb frac.diff. from(2.1628871275166585754)	Sr vs Yb frac.diff. from(1.2075070393433381221)	Al/Sr vs Yb frac.diff. from(2.6117014317814574243)	
58186.29441191	NaN	NaN	NaN
58186.29442382	NaN	NaN	NaN
58186.29443572	NaN	NaN	NaN
58186.29444763	NaN	NaN	NaN
58186.29445953	NaN	NaN	NaN
58186.29447143	NaN	NaN	NaN
58186.29448334	NaN	NaN	NaN
58186.29449524	NaN	NaN	NaN
58186.29450715	NaN	NaN	NaN
58186.29451906	NaN	NaN	NaN
58186.29453095	NaN	NaN	NaN
58186.29454285	NaN	NaN	NaN
58186.29455475	NaN	NaN	NaN
58186.29456666	NaN	NaN	NaN
58186.29457857	NaN	NaN	NaN
58186.29459048	NaN	NaN	NaN
58186.29460239	NaN	NaN	NaN
58186.29461429	NaN	NaN	NaN
58186.29462621	NaN	NaN	NaN
58186.29463811	NaN	NaN	NaN
58186.29465002	NaN	NaN	NaN
58186.29466192	NaN	NaN	NaN
58186.29467382	NaN	NaN	NaN
58186.29468572	NaN	NaN	NaN
58186.29469762	NaN	NaN	NaN
58186.29470953	NaN	NaN	NaN
58186.29472144	NaN	NaN	NaN
58186.29473335	NaN	NaN	NaN
58186.29474525	NaN	NaN	NaN
58186.29475715	NaN	NaN	NaN
58186.29476906	NaN	NaN	NaN
58186.29478096	NaN	NaN	NaN
58186.29479287	NaN	NaN	NaN
58186.29480477	NaN	NaN	NaN
58186.29481668	NaN	NaN	NaN
58186.29482859	NaN	NaN	NaN
58186.29484050	NaN	NaN	NaN
58186.29485242	NaN	NaN	NaN
58186.29486433	NaN	NaN	NaN
58186.29487624	NaN	NaN	NaN
58186.29488816	NaN	NaN	NaN
58186.29490007	NaN	NaN	NaN
58186.29491197	NaN	NaN	NaN
58186.29492388	NaN	NaN	NaN
58186.29493579	NaN	NaN	NaN
58186.29494768	NaN	NaN	NaN
58186.29495959	NaN	NaN	NaN
58186.29497150	NaN	NaN	NaN
58186.29498341	NaN	NaN	NaN
58186.29499534	NaN	NaN	NaN
58186.29500723	NaN	NaN	NaN
58186.29501913	NaN	NaN	NaN
58186.29503104	NaN	NaN	NaN
58186.29504295	NaN	NaN	NaN
58186.29505485	NaN	NaN	NaN
58186.29506677	NaN	NaN	NaN
58186.29507867	NaN	NaN	NaN
58186.29509059	NaN	NaN	NaN
58186.29510250	NaN	NaN	NaN
58186.29511441	NaN	NaN	NaN
58186.29512631	NaN	NaN	NaN
58186.29513822	NaN	NaN	NaN
58186.29515012	NaN	NaN	NaN
58186.29516203	NaN	NaN	NaN
58186.29517393	NaN	NaN	NaN
58186.29518586	NaN	NaN	NaN
58186.29519778	NaN	NaN	NaN
58186.29520969	NaN	NaN	NaN
58186.29522159	NaN	NaN	NaN
58186.29523349	NaN	NaN	NaN
58186.29524539	NaN	NaN	NaN
58186.29525731	NaN	NaN	NaN
58186.29526922	NaN	NaN	NaN
58186.29528114	NaN	NaN	NaN
58186.29529302	NaN	NaN	NaN
58186.29530495	NaN	NaN	NaN
58186.29531686	NaN	NaN	NaN
58186.29532877	NaN	NaN	NaN
58186.29534066	NaN	NaN	NaN
58186.29535259	NaN	NaN	NaN
58186.29536448	NaN	NaN	NaN
58186.29537641	NaN	NaN	NaN
58186.29538830	NaN	NaN	NaN
58186.29540021	NaN	NaN	NaN
58186.29541214	NaN	NaN	NaN
58186.29542403	NaN	NaN	NaN
58186.29543594	NaN	NaN	NaN
58186.29544784	NaN	NaN	NaN
58186.29545974	NaN	NaN	NaN
58186.29547166	NaN	NaN	NaN
58186.29548356	NaN	NaN	NaN
58186.29549547	NaN	NaN	NaN
58186.29550739	NaN	NaN	NaN
58186.29551931	NaN	NaN	NaN
58186.29553121	NaN	NaN	NaN
58186.29554311	NaN	NaN	NaN
58186.29555502	NaN	NaN	NaN
58186.29556692	NaN	NaN	NaN
58186.29557883	NaN	NaN	NaN
58186.29559073	NaN	NaN	NaN
58186.29560262	NaN	NaN	NaN
58186.29561452	NaN	NaN	NaN
58186.29562643	NaN	NaN	NaN
58186.29563833	NaN	NaN	NaN
58186.29565024	NaN	NaN	NaN
58186.29566214	NaN	NaN	NaN
58186.29567404	NaN	NaN	NaN
58186.29568594	NaN	NaN	NaN
58186.29569786	NaN	NaN	NaN
58186.29570976	NaN	NaN	NaN
58186.29572165	NaN	NaN	NaN
58186.29573356	NaN	NaN	NaN
58186.29574547	NaN	NaN	NaN
58186.29575739	NaN	NaN	NaN
58186.29576932	NaN	NaN	NaN
58186.29578121	NaN	NaN	NaN
58186.29579312	NaN	NaN	NaN
58186.29580502	NaN	NaN	NaN
58186.29581694	NaN	NaN	NaN
58186.29582887	NaN	NaN	NaN
58186.29584076	NaN	NaN	NaN
58186.29585267	NaN	NaN	NaN
58186.29586459	NaN	NaN	NaN
58186.29587650	NaN	NaN	NaN
58186.29588839	NaN	NaN	NaN
58186.29590030	NaN	NaN	NaN
58186.29591222	NaN	NaN	NaN
58186.29592413	NaN	NaN	NaN
58186.29593604	NaN	NaN	NaN
58186.29594794	NaN	NaN	NaN
58186.29595985	NaN	NaN	NaN
58186.29597174	NaN	NaN	NaN
58186.29598365	NaN	NaN	NaN
58186.29599557	NaN	NaN	NaN
58186.29600749	NaN	NaN	NaN
58186.29601939	NaN	NaN	NaN
58186.29603129	NaN	NaN	NaN
58186.29604320	NaN	NaN	NaN
58186.29605510	NaN	NaN	NaN
58186.29606702	NaN	NaN	NaN
58186.29607893	NaN	NaN	NaN
58186.29609082	NaN	NaN	NaN
58186.29610273	NaN	NaN	NaN
58186.29611462	NaN	NaN	NaN
58186.29612654	NaN	NaN	NaN
58186.29613844	NaN	NaN	NaN
58186.29615035	NaN	NaN	NaN
58186.29616225	NaN	NaN	NaN
58186.29617416	NaN	NaN	NaN
58186.29618606	NaN	NaN	NaN
58186.29619798	NaN	NaN	NaN
58186.29620990	NaN	NaN	NaN
58186.29622181	NaN	NaN	NaN
58186.29623372	NaN	NaN	NaN
58186.29624562	NaN	NaN	NaN
58186.29625753	NaN	NaN	NaN
58186.29626943	NaN	NaN	NaN
58186.29628133	NaN	NaN	NaN
58186.29629322	NaN	NaN	NaN
58186.29630512	NaN	NaN	NaN
58186.29631704	NaN	NaN	NaN
58186.29632895	NaN	NaN	NaN
58186.29634086	NaN	NaN	NaN
